vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","025","999","0567",8,40,3.89999986e-01,0
"02","025","999","0574",2,2338,2.29200001e+01,0
"02","025","999","0810",12,0,0.00000000e+00,0
"02","025","999","0813",11,0,0.00000000e+00,0
"02","025","999","0814",5,154,1.50999999e+00,0
"02","026","999","0008",12,10,7.00000003e-02,0
"02","026","999","0298",10,27,1.80000007e-01,0
"02","026","999","0301",8,43,2.89999992e-01,0
"02","026","999","0503",4,465,3.16000009e+00,0
"02","026","999","0511",3,1288,8.73999977e+00,0
"02","026","999","0518",1,6777,4.60000000e+01,0
"02","026","999","0546",5,437,2.97000003e+00,0
"02","026","999","0567",7,45,3.10000002e-01,0
"02","026","999","0574",2,3766,2.55599995e+01,0
"02","026","999","0810",11,24,1.59999996e-01,0
"02","026","999","0813",6,91,6.20000005e-01,0
"02","026","999","0814",9,38,2.59999990e-01,0
"02","027","999","0008",8,194,5.60000002e-01,0
"02","027","999","0298",11,148,4.30000007e-01,0
"02","027","999","0301",12,128,3.70000005e-01,0
"02","027","999","0503",5,784,2.25999999e+00,0
"02","027","999","0511",2,5725,1.65100002e+01,0
"02","027","999","0518",1,17353,5.00499992e+01,0
"02","027","999","0546",4,1504,4.34000015e+00,0
"02","027","999","0567",6,246,7.09999979e-01,0
"02","027","999","0574",3,4698,1.35500002e+01,0
"02","027","999","0810",10,177,5.09999990e-01,0
"02","027","999","0813",7,224,6.49999976e-01,0
"02","027","999","0814",9,180,5.19999981e-01,0
"02","028","999","0008",10,32,1.29999995e-01,0
"02","028","999","0298",8,71,2.80000001e-01,0
"02","028","999","0301",9,41,1.59999996e-01,0
"02","028","999","0503",5,715,2.84999990e+00,0
"02","028","999","0511",3,3971,1.58400002e+01,0
"02","028","999","0518",1,9240,3.68699989e+01,0
"02","028","999","0546",4,1074,4.28999996e+00,0
"02","028","999","0567",7,125,5.00000000e-01,0
"02","028","999","0574",2,4078,1.62700005e+01,0
"02","028","999","0810",11,5,1.99999996e-02,0
"02","028","999","0813",12,1,0.00000000e+00,0
"02","028","999","0814",6,127,5.09999990e-01,0
